Order_ID,Order_Date,Customer_ID,Segment,Region,State,City,Product_ID,Quantity,Unit_Price,Discount_Percent,Unit_Cost,Total_sales,Total_cost,Profit,Shipping_Cost,Marketing_Cost,Payment_Mode,Sales_Channel,Order_Status,Salesperson,Production_City,Customer_Rating,Return_Reason
ORD000001,2025-06-18,C0184,Consumer,North,Rajasthan,Jaipur,P002,3,24594.91,5,20287.21,70095.4935,62339.98,7755.5135,300,1178.35,Credit Card,Online,Delivered,Farhan,Pune,1,
ORD000002,2021-04-23,C0089,Corporate,North,Uttar Pradesh,Lucknow,P015,1,2824.65,5,2578.9,2683.4175,2910.59,-227.1725,200,131.69,Credit Card,Online,In Transit,Farhan,Pune,1,
ORD000003,2024-02-05,C0344,Consumer,East,Bihar,Patna,P001,4,36747.44,35,38650.52,95543.344,162922.87,-67379.526,80,8240.79,Wallet,Distributor,Delivered,Priyanka,Hyderabad,3.016895969,
ORD000004,2025-03-17,C0077,Consumer,East,Bihar,Patna,P002,2,18957.86,12,20260.04,33365.8336,41357.28,-7991.4464,200,637.2,Credit Card,Online,Returned,Imran,Ahmedabad,4,Price Issue
ORD000005,2024-03-25,C0463,Consumer,North,Rajasthan,Jaipur,P010,2,233.18,10,121.3,419.724,469.84,-50.116,200,27.24,COD,Online,Delivered,Jay,Bengaluru,3,
ORD000006,2025-07-12,C0570,Corporate,North,Delhi,Delhi,P008,1,5972.64,12,3753.1,5255.9232,4317.77,938.1532,300,264.67,COD,Distributor,Returned,Sonal,Gandhinagar,1,Damaged
ORD000007,2021-06-05,C0340,Consumer,North,Delhi,Delhi,P004,1,14874.92,5,10363.33,14131.174,10971.77,3159.404,300,308.44,Debit Card,Marketplace,Delivered,Imran,Bengaluru,1,
ORD000008,2025-02-06,C0564,Consumer,West,Gujarat,Ahmedabad,P016,1,11921.85,7,10931.23,11087.3205,11720.22,-632.8995,80,708.99,COD,Marketplace,Delivered,Mehul,Hyderabad,5,
ORD000009,2025-01-29,C0225,Consumer,East,Bihar,Patna,P001,8,41869.39,12,41179.57,294760.5056,345726.23,-50965.7244,144,16145.67,Net Banking,Distributor,Delivered,Imran,Chennai,2,
ORD000010,2023-12-25,C0606,Consumer,West,Maharashtra,Pune,P001,4,50987.08,0,44447.27,203948.32,180828.96,23119.36,80,2959.88,Credit Card,Online,Delivered,Nitin,Chennai,4,
ORD000011,2020-09-16,C0182,Consumer,South,Telangana,Hyderabad,P011,1,378.38,7,252.77,351.8934,717.64,-365.7466,450,14.87,Debit Card,Distributor,Delivered,Imran,Noida,2,
ORD000012,2020-10-14,C0325,Consumer,South,Tamil Nadu,Chennai,P006,4,7116.71,10,5208.96,25620.156,21551.77,4068.386,250,465.93,Wallet,Marketplace,Delivered,Asha,Ahmedabad,1,
